from_to_hr,probability
"((6, 104), 9)",0.0017390800266658937
"((6, 110), 8)",2.898466711109823e-05
"((6, 111), 8)",2.898466711109823e-05
"((6, 111), 9)",2.898466711109823e-05
"((6, 115), 8)",2.898466711109823e-05
"((6, 118), 6)",2.898466711109823e-05
"((6, 118), 7)",5.796933422219646e-05
"((6, 118), 8)",5.796933422219646e-05
"((6, 118), 9)",5.796933422219646e-05
"((6, 120), 9)",5.796933422219646e-05
"((6, 121), 6)",0.0005217240079997682
"((6, 121), 7)",0.0004057853395553752
"((6, 121), 8)",0.0008405553462218486
"((6, 121), 9)",0.0004927393408886699
"((6, 122), 6)",8.695400133329469e-05
"((6, 122), 8)",2.898466711109823e-05
"((6, 122), 9)",0.00011593866844439292
"((6, 123), 6)",2.898466711109823e-05
"((6, 123), 8)",8.695400133329469e-05
"((6, 124), 9)",5.796933422219646e-05
"((6, 126), 6)",0.0002608620039998841
"((6, 126), 7)",2.898466711109823e-05
"((6, 126), 8)",5.796933422219646e-05
"((6, 126), 9)",5.796933422219646e-05
"((6, 127), 7)",2.898466711109823e-05
"((6, 127), 8)",2.898466711109823e-05
"((6, 128), 7)",2.898466711109823e-05
"((6, 130), 8)",2.898466711109823e-05
"((6, 131), 8)",2.898466711109823e-05
"((6, 131), 9)",2.898466711109823e-05
"((6, 133), 8)",2.898466711109823e-05
"((6, 134), 7)",0.00014492333555549114
"((6, 134), 8)",0.0003188313382220805
"((6, 134), 9)",0.00014492333555549114
"((6, 135), 6)",2.898466711109823e-05
"((6, 135), 9)",2.898466711109823e-05
"((6, 136), 6)",2.898466711109823e-05
"((6, 136), 7)",8.695400133329469e-05
"((6, 136), 8)",2.898466711109823e-05
"((6, 136), 9)",2.898466711109823e-05
"((6, 137), 6)",2.898466711109823e-05
"((6, 137), 7)",2.898466711109823e-05
"((6, 137), 8)",0.00023187733688878585
"((6, 137), 9)",0.00011593866844439292
"((6, 138), 6)",2.898466711109823e-05
"((6, 138), 7)",0.00011593866844439292
"((6, 138), 8)",2.898466711109823e-05
"((6, 138), 9)",2.898466711109823e-05
"((6, 139), 8)",5.796933422219646e-05
"((6, 143), 7)",2.898466711109823e-05
"((6, 143), 8)",2.898466711109823e-05
"((6, 143), 9)",0.00023187733688878585
"((6, 148), 7)",2.898466711109823e-05
"((6, 149), 6)",5.796933422219646e-05
"((6, 149), 8)",5.796933422219646e-05
"((6, 149), 9)",2.898466711109823e-05
"((6, 150), 6)",8.695400133329469e-05
"((6, 150), 7)",0.00037680067244427696
"((6, 150), 8)",0.0011593866844439291
"((6, 150), 9)",0.0023477580359989566
"((6, 151), 6)",8.695400133329469e-05
"((6, 151), 7)",0.00014492333555549114
"((6, 151), 8)",0.0002608620039998841
"((6, 151), 9)",8.695400133329469e-05
"((6, 152), 8)",5.796933422219646e-05
"((6, 153), 6)",8.695400133329469e-05
"((6, 153), 7)",0.00023187733688878585
"((6, 153), 8)",0.0005217240079997682
"((6, 153), 9)",0.0008695400133329469
"((6, 154), 6)",2.898466711109823e-05
"((6, 154), 8)",2.898466711109823e-05
"((6, 155), 7)",2.898466711109823e-05
"((6, 155), 8)",5.796933422219646e-05
"((6, 157), 8)",2.898466711109823e-05
"((6, 157), 9)",2.898466711109823e-05
"((6, 159), 9)",2.898466711109823e-05
"((6, 161), 6)",2.898466711109823e-05
"((6, 161), 7)",5.796933422219646e-05
"((6, 161), 9)",5.796933422219646e-05
"((6, 163), 6)",2.898466711109823e-05
"((6, 163), 7)",8.695400133329469e-05
"((6, 163), 8)",8.695400133329469e-05
"((6, 163), 9)",0.0002608620039998841
"((6, 164), 7)",2.898466711109823e-05
"((6, 164), 8)",2.898466711109823e-05
"((6, 164), 9)",2.898466711109823e-05
"((6, 165), 6)",0.0002028926697776876
"((6, 165), 8)",2.898466711109823e-05
"((6, 167), 6)",0.001014463348888438
"((6, 167), 7)",0.0005217240079997682
"((6, 167), 8)",0.0022028347004434653
"((6, 167), 9)",0.0016811106924436972
"((6, 168), 6)",2.898466711109823e-05
"((6, 168), 7)",0.00017390800266658938
"((6, 168), 8)",2.898466711109823e-05
"((6, 169), 6)",2.898466711109823e-05
"((6, 169), 7)",5.796933422219646e-05
"((6, 169), 8)",2.898466711109823e-05
"((6, 170), 7)",2.898466711109823e-05
"((6, 172), 8)",5.796933422219646e-05
"((6, 173), 7)",5.796933422219646e-05
"((6, 173), 9)",5.796933422219646e-05
"((6, 174), 8)",2.898466711109823e-05
"((6, 175), 7)",2.898466711109823e-05
"((6, 177), 8)",2.898466711109823e-05
"((6, 177), 9)",2.898466711109823e-05
"((6, 179), 7)",2.898466711109823e-05
"((6, 179), 8)",2.898466711109823e-05
"((6, 181), 7)",5.796933422219646e-05
"((6, 181), 8)",8.695400133329469e-05
"((6, 181), 9)",0.00011593866844439292
"((6, 183), 6)",2.898466711109823e-05
"((6, 183), 7)",2.898466711109823e-05
"((6, 183), 9)",2.898466711109823e-05
"((6, 185), 6)",0.0002898466711109823
"((6, 185), 7)",0.0029854207124431174
"((6, 185), 8)",0.0052752094142198775
"((6, 185), 9)",0.007333120779107852
"((6, 186), 7)",2.898466711109823e-05
"((6, 186), 8)",2.898466711109823e-05
"((6, 187), 6)",2.898466711109823e-05
"((6, 187), 7)",2.898466711109823e-05
"((6, 187), 8)",2.898466711109823e-05
"((6, 188), 7)",2.898466711109823e-05
"((6, 189), 6)",5.796933422219646e-05
"((6, 189), 7)",0.00023187733688878585
"((6, 189), 8)",0.00023187733688878585
"((6, 189), 9)",0.0003188313382220805
"((6, 190), 7)",2.898466711109823e-05
"((6, 193), 6)",2.898466711109823e-05
"((6, 193), 9)",2.898466711109823e-05
"((6, 194), 8)",2.898466711109823e-05
"((6, 195), 6)",2.898466711109823e-05
"((6, 195), 7)",5.796933422219646e-05
"((6, 195), 8)",0.0002028926697776876
"((6, 195), 9)",0.00011593866844439292
"((6, 196), 7)",2.898466711109823e-05
"((6, 196), 8)",2.898466711109823e-05
"((6, 196), 9)",2.898466711109823e-05
"((6, 197), 6)",2.898466711109823e-05
"((6, 197), 7)",2.898466711109823e-05
"((6, 197), 8)",5.796933422219646e-05
"((6, 198), 6)",5.796933422219646e-05
"((6, 198), 7)",2.898466711109823e-05
"((6, 198), 8)",5.796933422219646e-05
"((6, 198), 9)",5.796933422219646e-05
"((6, 199), 6)",5.796933422219646e-05
"((6, 199), 7)",0.00017390800266658938
"((6, 199), 8)",8.695400133329469e-05
"((6, 199), 9)",0.00023187733688878585
"((6, 200), 7)",2.898466711109823e-05
"((6, 200), 8)",2.898466711109823e-05
"((6, 201), 8)",2.898466711109823e-05
"((6, 201), 9)",2.898466711109823e-05
"((6, 202), 6)",0.0002898466711109823
"((6, 202), 7)",0.0008695400133329469
"((6, 202), 8)",0.003999884061331556
"((6, 202), 9)",0.005304194081330976
"((6, 203), 7)",2.898466711109823e-05
"((6, 203), 8)",5.796933422219646e-05
"((6, 203), 9)",8.695400133329469e-05
"((6, 204), 6)",5.796933422219646e-05
"((6, 204), 7)",2.898466711109823e-05
"((6, 204), 8)",0.00014492333555549114
"((6, 204), 9)",0.00011593866844439292
"((6, 205), 8)",0.00011593866844439292
